Frame,Iris Dilation,Pupil Dilation,Ratio,Processed Iris Dilation,Processed Pupil Dilation,Processed Ratio
310,150.81582641601562,47.448076213356565,0.31461,150.81582641601562,47.448076213356565,0.31461
311,150.81582641601562,47.448076213356565,0.31461,150.81582641601562,47.448076213356565,0.31461
312,150.81582641601562,47.44807621335656,0.31461,150.81582641601562,47.44807621335656,0.31461
313,150.81582641601562,47.448076213356565,0.31461,150.81582641601562,47.448076213356565,0.31461
314,150.81582641601562,50.0,0.33153,150.81582641601562,50.0,0.33153
315,150.81582641601562,49.0,0.32490,150.81582641601562,49.0,0.32490
316,150.81582641601562,47.5,0.31495,150.81582641601562,47.5,0.31495
317,150.81582641601562,47.5,0.31495,150.81582641601562,47.5,0.31495
318,150.81582641601562,46.5,0.30832,150.81582641601562,46.5,0.30832
319,150.81582641601562,47.5,0.31495,150.81582641601562,47.5,0.31495
320,150.81582641601562,48.0,0.31827,150.81582641601562,48.0,0.31827
